==============================================================================================================
 SIERRA CHART TRADE OPTIMIZATION PLATFORM — PROBLEMATIC TRADE SEQUENCES AUDIT
 Criteria: Trades with Quantity > 3 Contracts (Exceeding [-3, +3] Position Limit)
==============================================================================================================

PART 1: CURRENT CLEAN PRODUCTION DATABASE (processed_trades)
Total Problematic Trades Found: 238
--------------------------------------------------------------------------------------------------------------
#    | Account            | Symbol     | Entry Time (NY)     | Side  | Entry     | Exit      | Qty  | PnL ($)   
--------------------------------------------------------------------------------------------------------------
1    | TM_10              | CLJ25      | 2025-03-09T22:06:10 | SHORT | 66.90     | 66.90     | 6    | $0.00     
19   | ES-TM_10           | ESM25      | 2025-04-07T18:23:34 | LONG  | 5134.75   | 5136.75   | 6    | $600.00   
20   | ES-TM_10           | ESM25      | 2025-04-07T19:27:26 | LONG  | 5061.00   | 5063.75   | 6    | $825.00   
21   | ES-TM_5            | ESM25      | 2025-04-09T09:47:44 | LONG  | 5007.50   | 5003.50   | 5    | $-1,000.00
22   | ES-TM_8            | ESM25      | 2025-04-09T09:47:44 | LONG  | 5007.50   | 5003.50   | 5    | $-1,000.00
23   | ES-TM_10           | ESU24      | 2024-06-26T14:28:24 | SHORT | 5526.50   | 5526.75   | 6    | $-75.00   
24   | ES-TM_10           | ESU24      | 2024-07-25T17:51:19 | SHORT | 5501.50   | 5503.75   | 6    | $-675.00  
25   | ES-TM_10           | ESU24      | 2024-07-25T17:58:33 | SHORT | 5506.25   | 5506.25   | 6    | $0.00     
26   | ES-TM_10           | ESU24      | 2024-07-25T18:06:03 | LONG  | 5497.00   | 5489.50   | 6    | $-2,250.00
27   | ES-TM_9            | ESU24      | 2024-08-05T19:50:35 | LONG  | 5204.25   | 5198.75   | 6    | $-1,650.00
28   | ES-TM_9            | ESU24      | 2024-08-05T20:10:19 | SHORT | 5240.25   | 5241.00   | 6    | $-225.00  
29   | ES-TM_9            | ESU24      | 2024-08-05T20:21:51 | LONG  | 5237.50   | 5246.25   | 4    | $1,750.00 
30   | TSUFIM-PROD        | FDAXH25    | 2025-03-10T14:11:18 | LONG  | 22773.00  | 22773.00  | 4    | $0.00     
31   | TM_10              | FDAXM24    | 2024-05-31T15:49:34 | LONG  | 18548.00  | 18547.00  | 6    | $-150.00  
32   | TM_10              | FDAXM24    | 2024-06-03T10:03:48 | LONG  | 18698.00  | 18696.00  | 6    | $-300.00  
33   | TM_10              | FDAXM24    | 2024-06-03T11:06:05 | SHORT | 18682.00  | 18684.00  | 6    | $-300.00  
34   | TM_10              | FDAXM24    | 2024-06-03T14:15:25 | SHORT | 18692.00  | 18694.00  | 6    | $-300.00  
35   | TM_10              | FDAXM24    | 2024-06-03T15:24:41 | LONG  | 18654.00  | 18653.00  | 6    | $-150.00  
36   | TM_10              | FDAXM24    | 2024-06-03T15:56:04 | SHORT | 18631.00  | 18631.00  | 6    | $0.00     
37   | TM_10              | FDAXM24    | 2024-06-04T11:16:49 | LONG  | 18472.00  | 18470.00  | 6    | $-300.00  
38   | TM_10              | FDAXM24    | 2024-06-04T16:14:05 | SHORT | 18433.00  | 18435.00  | 6    | $-300.00  
39   | TM_10              | FDAXM24    | 2024-06-07T13:16:58 | LONG  | 18544.00  | 18543.00  | 6    | $-150.00  
40   | TM_10              | FDAXM24    | 2024-06-07T13:32:00 | SHORT | 18524.00  | 18527.00  | 6    | $-450.00  
41   | TM_9               | FDAXM24    | 2024-05-31T17:31:41 | LONG  | 18554.00  | 18552.00  | 6    | $-300.00  
42   | TM_9               | FDAXM24    | 2024-05-31T19:57:58 | LONG  | 18637.00  | 18631.00  | 6    | $-900.00  
43   | TM_9               | FDAXM24    | 2024-06-03T14:15:00 | SHORT | 18691.00  | 18693.00  | 6    | $-300.00  
44   | TM_9               | FDAXM24    | 2024-06-03T15:56:11 | SHORT | 18628.00  | 18630.00  | 6    | $-300.00  
45   | TM_9               | FDAXM24    | 2024-06-04T13:15:00 | LONG  | 18537.00  | 18543.00  | 6    | $900.00   
46   | TM_9               | FDAXM24    | 2024-06-04T16:40:26 | LONG  | 18458.00  | 18456.00  | 6    | $-300.00  
47   | TM_9               | FDAXM24    | 2024-06-07T13:24:25 | LONG  | 18528.00  | 18526.00  | 6    | $-300.00  
48   | TM_9               | FDAXM24    | 2024-06-07T13:24:38 | LONG  | 18528.00  | 18511.00  | 4    | $-1,700.00
49   | TM_9               | FDAXM25    | 2025-04-04T11:17:26 | LONG  | 20884.00  | 20877.00  | 6    | $-1,050.00
50   | TM_9               | FDAXM25    | 2025-04-04T12:02:10 | LONG  | 20833.00  | 20823.00  | 6    | $-1,500.00
51   | TM_9               | FDAXM25    | 2025-04-04T12:05:15 | LONG  | 20922.00  | 20913.00  | 6    | $-1,350.00
52   | TM_10              | FDAXU24    | 2024-06-18T14:40:19 | SHORT | 18319.00  | 18338.00  | 6    | $-2,850.00
53   | TM_10              | FDAXU24    | 2024-07-24T17:24:27 | LONG  | 18513.00  | 18305.00  | 4    | $-20,800.00
54   | TM_10              | FDAXU24    | 2024-08-06T12:06:11 | SHORT | 17407.00  | 17412.00  | 6    | $-750.00  
55   | TM_10              | FDAXU24    | 2024-08-06T12:25:26 | LONG  | 17425.00  | 17392.00  | 6    | $-4,950.00
56   | TM_10              | FDAXU24    | 2024-08-06T13:31:03 | LONG  | 17344.00  | 17322.00  | 6    | $-3,300.00
57   | TM_10              | FDAXU24    | 2024-08-06T13:54:05 | LONG  | 17388.00  | 17385.00  | 6    | $-450.00  
58   | TM_10              | FDAXU24    | 2024-08-06T14:17:54 | LONG  | 17434.00  | 17404.00  | 6    | $-4,500.00
59   | TM_10              | FDAXU24    | 2024-08-06T14:26:10 | SHORT | 17419.00  | 17449.00  | 6    | $-4,500.00
60   | TM_9               | FDAXU24    | 2024-07-18T18:47:05 | LONG  | 18445.00  | 18320.00  | 6    | $-18,750.00
61   | TM_9               | FDAXU24    | 2024-07-31T00:30:01 | SHORT | 18554.00  | 18597.00  | 6    | $-6,450.00
62   | TM_9               | FDAXU24    | 2024-07-31T18:50:56 | SHORT | 18633.00  | 18654.00  | 4    | $-2,100.00
63   | TM_9               | FDAXU24    | 2024-08-02T15:24:30 | SHORT | 17713.00  | 17745.00  | 6    | $-4,800.00
64   | TM_9               | FDAXU24    | 2024-08-02T17:36:36 | SHORT | 17776.00  | 17769.00  | 4    | $700.00   
65   | TM_9               | FDAXU24    | 2024-08-05T14:40:21 | LONG  | 17358.00  | 17334.00  | 6    | $-3,600.00
66   | TM_9               | FDAXU24    | 2024-08-05T15:01:12 | LONG  | 17390.00  | 17360.00  | 6    | $-4,500.00
67   | TM_9               | FDAXU24    | 2024-08-05T18:12:14 | LONG  | 17445.00  | 17421.00  | 6    | $-3,600.00
68   | TM_9               | FDAXU24    | 2024-08-09T19:22:51 | LONG  | 17827.00  | 17831.00  | 6    | $600.00   
69   | TM_10              | FDAXU25    | 2025-08-14T08:12:39 | LONG  | 24341.00  | 24337.00  | 6    | $-600.00  
70   | TM_10              | FDAXZ25    | 2025-10-17T14:20:59 | LONG  | 24060.00  | 24055.00  | 6    | $-750.00  
71   | TM_10              | NQH25      | 2024-12-31T18:50:05 | LONG  | 21255.00  | 21261.25  | 6    | $750.00   
72   | TM_10              | NQH25      | 2024-12-31T19:33:25 | SHORT | 21195.75  | 21196.00  | 6    | $-30.00   
73   | TM_10              | NQH25      | 2024-12-31T20:16:17 | LONG  | 21225.25  | 21224.50  | 6    | $-90.00   
74   | TM_10              | NQH25      | 2024-12-31T20:39:44 | SHORT | 21272.25  | 21273.25  | 6    | $-120.00  
75   | TM_10              | NQH25      | 2024-12-31T20:53:12 | LONG  | 21240.25  | 21240.25  | 6    | $0.00     
76   | A_SIM14            | NQM24      | 2024-03-18T13:30:11 | SHORT | 18279.00  | 18285.00  | 4    | $-480.00  
77   | A_SIM15            | NQM24      | 2024-03-18T13:30:11 | SHORT | 18280.00  | 18278.50  | 4    | $120.00   
78   | DEPTH              | NQM24      | 2024-05-16T08:15:00 | SHORT | 18712.50  | 18714.00  | 5    | $-150.00  
79   | DEPTH              | NQM24      | 2024-05-23T01:40:24 | SHORT | 18890.50  | 18893.00  | 5    | $-250.00  
80   | ES-TM_9            | NQM24      | 2024-05-31T20:20:19 | LONG  | 18585.00  | 18584.00  | 6    | $-120.00  
81   | ES-TM_9            | NQM24      | 2024-05-31T20:25:20 | SHORT | 18582.00  | 18582.75  | 6    | $-90.00   
82   | ES-TM_9            | NQM24      | 2024-05-31T20:47:53 | SHORT | 18574.25  | 18574.75  | 6    | $-60.00   
83   | ES-TM_9            | NQM24      | 2024-06-04T19:09:40 | SHORT | 18657.50  | 18657.75  | 6    | $-30.00   
84   | ES-TM_9            | NQM24      | 2024-06-14T13:52:13 | LONG  | 19631.00  | 19621.50  | 6    | $-1,140.00
85   | ES-TM_9            | NQM24      | 2024-06-16T22:00:01 | LONG  | 19703.25  | 19696.75  | 6    | $-780.00  
86   | IMPORT             | NQM24      | 2024-05-15T13:30:00 | LONG  | 18513.75  | 18516.00  | 6    | $270.00   
87   | IMPORT             | NQM24      | 2024-05-15T13:51:45 | LONG  | 18467.00  | 18466.50  | 6    | $-60.00   
88   | IMPORT             | NQM24      | 2024-05-15T16:10:37 | LONG  | 18602.00  | 18601.50  | 6    | $-60.00   
89   | IMPORT             | NQM24      | 2024-05-16T07:20:30 | LONG  | 18731.00  | 18730.50  | 6    | $-60.00   
90   | IMPORT             | NQM24      | 2024-05-16T13:49:59 | SHORT | 18703.75  | 18704.75  | 6    | $-120.00  
91   | IMPORT             | NQM24      | 2024-05-17T07:06:25 | SHORT | 18653.00  | 18653.75  | 6    | $-90.00   
92   | IMPORT             | NQM24      | 2024-05-17T15:09:20 | LONG  | 18654.00  | 18654.00  | 6    | $0.00     
93   | IMPORT             | NQM24      | 2024-05-17T16:43:06 | LONG  | 18626.50  | 18625.50  | 6    | $-120.00  
94   | IMPORT             | NQM24      | 2024-05-20T14:57:34 | SHORT | 18746.00  | 18746.50  | 6    | $-60.00   
95   | IMPORT             | NQM24      | 2024-05-20T15:16:34 | LONG  | 18732.00  | 18731.25  | 6    | $-90.00   
96   | IMPORT             | NQM24      | 2024-05-22T10:29:16 | LONG  | 18767.50  | 18767.00  | 6    | $-60.00   
97   | IMPORT             | NQM24      | 2024-05-22T15:05:09 | SHORT | 18833.25  | 18833.25  | 6    | $0.00     
98   | IMPORT             | NQM24      | 2024-05-22T23:22:55 | LONG  | 18868.75  | 18868.25  | 6    | $-60.00   
99   | IMPORT             | NQM24      | 2024-05-23T06:27:52 | LONG  | 18937.50  | 18937.00  | 6    | $-60.00   
100  | IMPORT             | NQM24      | 2024-05-23T09:31:37 | LONG  | 18950.75  | 18950.25  | 6    | $-60.00   
101  | IMPORT             | NQM24      | 2024-05-23T15:31:02 | SHORT | 18902.00  | 18900.50  | 6    | $180.00   
102  | TM_10              | NQM24      | 2024-03-20T18:01:53 | LONG  | 18347.00  | 18687.75  | 6    | $40,890.00
103  | TM_10              | NQM24      | 2024-03-22T18:47:05 | SHORT | 18593.75  | 18591.25  | 6    | $300.00   
104  | TM_10              | NQM24      | 2024-04-04T17:02:22 | LONG  | 18546.25  | 18150.50  | 6    | $-47,490.00
105  | TM_10              | NQM24      | 2024-04-04T19:14:33 | SHORT | 18190.25  | 18174.75  | 6    | $1,860.00 
106  | TM_10              | NQM24      | 2024-04-04T19:33:06 | SHORT | 18133.75  | 18105.25  | 6    | $3,420.00 
107  | TM_10              | NQM24      | 2024-04-08T10:29:36 | SHORT | 18299.50  | 18300.00  | 6    | $-60.00   
108  | TM_10              | NQM24      | 2024-04-09T17:03:38 | SHORT | 18273.25  | 18087.75  | 6    | $22,260.00
109  | TM_10              | NQM24      | 2024-04-09T18:01:25 | LONG  | 18252.25  | 18133.00  | 6    | $-14,310.00
110  | TM_10              | NQM24      | 2024-04-15T14:40:53 | SHORT | 18221.50  | 18214.75  | 6    | $810.00   
111  | TM_10              | NQM24      | 2024-04-15T14:48:34 | SHORT | 18201.75  | 18201.75  | 6    | $0.00     
112  | TM_10              | NQM24      | 2024-04-18T19:16:58 | SHORT | 17556.25  | 17412.00  | 6    | $17,310.00
113  | TM_10              | NQM24      | 2024-04-19T13:30:22 | SHORT | 17476.00  | 17457.00  | 6    | $2,280.00 
114  | TM_10              | NQM24      | 2024-04-19T13:52:21 | SHORT | 17436.50  | 17430.00  | 4    | $520.00   
115  | TM_10              | NQM24      | 2024-04-19T14:10:53 | SHORT | 17427.75  | 17399.50  | 6    | $3,390.00 
116  | TM_10              | NQM24      | 2024-04-19T14:16:03 | SHORT | 17409.50  | 17388.50  | 6    | $2,520.00 
117  | TM_10              | NQM24      | 2024-04-19T14:19:33 | SHORT | 17399.75  | 17365.25  | 6    | $4,140.00 
118  | TM_10              | NQM24      | 2024-04-19T14:43:03 | SHORT | 17374.75  | 17414.00  | 6    | $-4,710.00
119  | TM_10              | NQM24      | 2024-04-19T14:50:28 | SHORT | 17413.75  | 17381.00  | 6    | $3,930.00 
120  | TM_10              | NQM24      | 2024-04-19T15:06:50 | SHORT | 17364.50  | 17333.50  | 6    | $3,720.00 
121  | TM_10              | NQM24      | 2024-04-19T15:29:08 | SHORT | 17324.75  | 17331.75  | 6    | $-840.00  
122  | TM_10              | NQM24      | 2024-04-19T15:34:26 | SHORT | 17329.25  | 17233.25  | 6    | $11,520.00
123  | TM_10              | NQM24      | 2024-04-19T16:48:33 | LONG  | 17246.00  | 17245.50  | 6    | $-60.00   
124  | TM_10              | NQM24      | 2024-04-19T17:01:58 | SHORT | 17279.75  | 17280.25  | 6    | $-60.00   
125  | TM_10              | NQM24      | 2024-04-19T17:08:05 | LONG  | 17289.50  | 17289.50  | 6    | $0.00     
126  | TM_10              | NQM24      | 2024-04-19T17:08:06 | LONG  | 17289.50  | 17289.50  | 6    | $0.00     
127  | TM_10              | NQM24      | 2024-04-19T17:16:48 | LONG  | 17279.75  | 17279.25  | 6    | $-60.00   
128  | TM_10              | NQM24      | 2024-04-19T17:18:29 | SHORT | 17307.00  | 17308.00  | 6    | $-120.00  
129  | TM_10              | NQM24      | 2024-04-19T17:18:30 | SHORT | 17307.00  | 17308.00  | 6    | $-120.00  
130  | TM_10              | NQM24      | 2024-04-19T17:28:59 | LONG  | 17270.00  | 17270.25  | 6    | $30.00    
131  | TM_10              | NQM24      | 2024-04-19T17:37:40 | SHORT | 17278.50  | 17278.75  | 6    | $-30.00   
132  | TM_10              | NQM24      | 2024-04-19T17:54:22 | SHORT | 17334.25  | 17335.00  | 6    | $-90.00   
133  | TM_10              | NQM24      | 2024-04-19T17:54:24 | LONG  | 17335.00  | 17339.50  | 6    | $540.00   
134  | TM_10              | NQM24      | 2024-04-19T17:55:07 | SHORT | 17339.50  | 17338.25  | 6    | $150.00   
135  | TM_10              | NQM24      | 2024-04-19T17:55:09 | LONG  | 17338.25  | 17261.25  | 6    | $-9,240.00
136  | TM_10              | NQM24      | 2024-04-19T18:01:15 | LONG  | 17260.75  | 17261.25  | 6    | $60.00    
137  | TM_10              | NQM24      | 2024-04-19T18:01:17 | LONG  | 17260.75  | 17245.00  | 6    | $-1,890.00
138  | TM_10              | NQM24      | 2024-04-19T18:25:50 | LONG  | 17246.75  | 17245.00  | 6    | $-210.00  
139  | TM_10              | NQM24      | 2024-04-19T18:28:33 | SHORT | 17238.50  | 17239.25  | 6    | $-90.00   
140  | TM_10              | NQM24      | 2024-04-19T18:28:35 | LONG  | 17239.25  | 17213.75  | 6    | $-3,060.00
141  | TM_10              | NQM24      | 2024-04-19T18:33:31 | LONG  | 17213.50  | 17213.75  | 6    | $30.00    
142  | TM_10              | NQM24      | 2024-04-19T18:37:56 | LONG  | 17193.25  | 17193.00  | 6    | $-30.00   
143  | TM_10              | NQM24      | 2024-04-19T18:39:42 | SHORT | 17179.50  | 17180.50  | 6    | $-120.00  
144  | TM_10              | NQM24      | 2024-04-19T18:42:09 | LONG  | 17170.00  | 17169.25  | 6    | $-90.00   
145  | TM_10              | NQM24      | 2024-04-19T18:42:10 | LONG  | 17170.00  | 17169.25  | 6    | $-90.00   
146  | TM_10              | NQM24      | 2024-04-19T18:43:59 | SHORT | 17160.50  | 17160.00  | 6    | $60.00    
147  | TM_10              | NQM24      | 2024-04-19T18:46:11 | LONG  | 17157.25  | 17159.00  | 6    | $210.00   
148  | TM_10              | NQM24      | 2024-04-19T18:46:13 | LONG  | 17157.25  | 17159.00  | 6    | $210.00   
149  | TM_10              | NQM24      | 2024-04-19T18:55:14 | SHORT | 17167.25  | 17168.00  | 6    | $-90.00   
150  | TM_10              | NQM24      | 2024-04-19T18:56:29 | SHORT | 17164.50  | 17164.00  | 6    | $60.00    
151  | TM_10              | NQM24      | 2024-04-19T19:04:41 | LONG  | 17156.25  | 17155.75  | 6    | $-60.00   
152  | TM_10              | NQM24      | 2024-04-19T19:04:43 | LONG  | 17156.25  | 17155.75  | 6    | $-60.00   
153  | TM_10              | NQM24      | 2024-04-19T19:06:32 | LONG  | 17132.75  | 17130.25  | 6    | $-300.00  
154  | TM_10              | NQM24      | 2024-04-19T19:13:12 | SHORT | 17190.50  | 17189.00  | 6    | $180.00   
155  | TM_10              | NQM24      | 2024-04-19T19:16:13 | LONG  | 17180.75  | 17178.75  | 6    | $-240.00  
156  | TM_10              | NQM24      | 2024-04-19T19:24:58 | LONG  | 17176.00  | 17177.25  | 6    | $150.00   
157  | TM_10              | NQM24      | 2024-04-19T19:28:13 | SHORT | 17181.50  | 17182.75  | 6    | $-150.00  
158  | TM_10              | NQM24      | 2024-04-19T19:28:15 | SHORT | 17181.50  | 17182.75  | 6    | $-150.00  
159  | TM_10              | NQM24      | 2024-04-19T19:41:05 | LONG  | 17133.00  | 17130.75  | 6    | $-270.00  
160  | TM_10              | NQM24      | 2024-04-19T19:41:07 | SHORT | 17130.75  | 17129.00  | 6    | $210.00   
161  | TM_10              | NQM24      | 2024-04-19T19:44:39 | LONG  | 17129.00  | 17129.00  | 6    | $0.00     
162  | TM_10              | NQM24      | 2024-04-19T19:56:03 | LONG  | 17185.00  | 17184.00  | 6    | $-120.00  
163  | TM_10              | NQM24      | 2024-04-19T19:59:24 | SHORT | 17185.50  | 17186.00  | 6    | $-60.00   
164  | TM_10              | NQM24      | 2024-04-19T19:59:26 | SHORT | 17185.50  | 17186.00  | 6    | $-60.00   
165  | TM_10              | NQM24      | 2024-04-26T19:46:01 | LONG  | 17865.75  | 17865.50  | 6    | $-30.00   
166  | TM_10              | NQM24      | 2024-05-07T18:51:18 | SHORT | 18194.00  | 18194.75  | 6    | $-90.00   
167  | TM_10              | NQM24      | 2024-05-19T22:03:49 | LONG  | 18648.50  | 18662.75  | 6    | $1,710.00 
168  | TM_10              | NQM24      | 2024-05-22T20:14:09 | LONG  | 18784.25  | 18784.50  | 6    | $30.00    
169  | TM_10              | NQM24      | 2024-05-23T13:32:31 | LONG  | 18946.25  | 18945.75  | 6    | $-60.00   
170  | TM_10              | NQM24      | 2024-06-05T14:10:56 | SHORT | 18831.25  | 18832.75  | 6    | $-180.00  
171  | TM_10              | NQM24      | 2024-06-07T19:50:23 | LONG  | 19037.00  | 19036.75  | 6    | $-30.00   
172  | TM_9               | NQM24      | 2024-03-20T18:14:29 | SHORT | 18347.00  | 18703.25  | 6    | $-42,750.00
173  | TM_9               | NQM24      | 2024-03-26T17:55:11 | LONG  | 18545.00  | 18403.50  | 6    | $-16,980.00
174  | TM_9               | NQM24      | 2024-03-26T18:56:33 | SHORT | 18555.50  | 18407.00  | 6    | $17,820.00
175  | TM_9               | NQM24      | 2024-04-04T17:02:23 | LONG  | 18546.75  | 18128.50  | 6    | $-50,190.00
176  | TM_9               | NQM24      | 2024-04-04T19:05:15 | SHORT | 18194.25  | 18190.00  | 6    | $510.00   
177  | TM_9               | NQM24      | 2024-04-04T19:14:34 | SHORT | 18189.25  | 18157.00  | 6    | $3,870.00 
178  | TM_9               | NQM24      | 2024-04-14T22:00:02 | SHORT | 18168.50  | 18260.50  | 6    | $-11,040.00
179  | TM_9               | NQM24      | 2024-04-15T14:51:57 | SHORT | 18197.75  | 18198.25  | 6    | $-60.00   
180  | TM_9               | NQM24      | 2024-04-18T17:10:54 | SHORT | 17596.50  | 17427.50  | 6    | $20,280.00
181  | TM_9               | NQM24      | 2024-04-18T17:28:27 | SHORT | 17563.50  | 17417.25  | 6    | $17,550.00
182  | TM_9               | NQM24      | 2024-04-18T19:26:17 | LONG  | 17555.75  | 17506.00  | 6    | $-5,970.00
183  | TM_9               | NQM24      | 2024-04-19T14:31:30 | SHORT | 17403.50  | 17335.75  | 6    | $8,130.00 
184  | TM_9               | NQM24      | 2024-04-19T18:00:23 | SHORT | 17276.25  | 17150.25  | 6    | $15,120.00
185  | TM_9               | NQM24      | 2024-04-19T18:45:21 | LONG  | 17150.25  | 17150.00  | 6    | $-30.00   
186  | TM_9               | NQM24      | 2024-04-19T19:06:59 | LONG  | 17143.75  | 17142.50  | 6    | $-150.00  
187  | TM_9               | NQM24      | 2024-04-19T19:22:53 | SHORT | 17179.25  | 17182.50  | 6    | $-390.00  
188  | TM_9               | NQM24      | 2024-04-19T19:22:54 | SHORT | 17179.25  | 17166.50  | 6    | $1,530.00 
189  | TM_9               | NQM24      | 2024-04-19T19:46:22 | SHORT | 17124.50  | 17124.25  | 4    | $20.00    
190  | TM_9               | NQM24      | 2024-04-19T19:53:29 | SHORT | 17165.00  | 17166.50  | 6    | $-180.00  
191  | TM_9               | NQM24      | 2024-04-19T20:07:25 | LONG  | 17163.00  | 17163.50  | 6    | $60.00    
192  | TM_9               | NQM24      | 2024-04-23T20:03:08 | LONG  | 17649.50  | 17743.00  | 6    | $11,220.00
193  | TM_9               | NQM24      | 2024-04-23T20:03:15 | LONG  | 17624.75  | 17693.75  | 6    | $8,280.00 
194  | TM_9               | NQM24      | 2024-04-24T20:00:00 | SHORT | 17661.25  | 17658.75  | 6    | $300.00   
195  | TM_9               | NQM24      | 2024-04-24T20:27:33 | SHORT | 17505.75  | 17462.50  | 6    | $5,190.00 
196  | TM_9               | NQM24      | 2024-04-24T20:27:35 | SHORT | 17505.75  | 17508.00  | 6    | $-270.00  
197  | TM_9               | NQM24      | 2024-04-24T20:47:14 | SHORT | 17506.25  | 17476.25  | 6    | $3,600.00 
198  | TM_9               | NQM24      | 2024-04-28T22:03:55 | SHORT | 17854.75  | 17897.75  | 6    | $-5,160.00
199  | TM_9               | NQM24      | 2024-04-29T18:23:07 | SHORT | 17890.50  | 17870.25  | 4    | $1,620.00 
200  | TM_9               | NQM24      | 2024-05-01T18:00:22 | LONG  | 17473.50  | 17492.50  | 6    | $2,280.00 
201  | TM_9               | NQM24      | 2024-05-23T13:36:08 | LONG  | 18954.25  | 18953.75  | 6    | $-60.00   
202  | TM_9               | NQM24      | 2024-05-30T16:04:21 | LONG  | 18692.50  | 18692.75  | 6    | $30.00    
203  | TM_9               | NQM24      | 2024-06-05T14:21:17 | SHORT | 18845.25  | 18845.25  | 6    | $0.00     
204  | TM_9               | NQM24      | 2024-06-05T15:04:15 | SHORT | 18940.00  | 18941.00  | 6    | $-120.00  
205  | TM_9               | NQM24      | 2024-06-06T18:50:34 | LONG  | 19068.25  | 19008.50  | 6    | $-7,170.00
206  | TM_9               | NQM24      | 2024-06-07T19:50:01 | SHORT | 19026.75  | 19028.25  | 6    | $-180.00  
207  | TM_10              | NQM25      | 2025-06-13T17:21:03 | SHORT | 21809.50  | 21802.75  | 6    | $810.00   
208  | TM_10              | NQM25      | 2025-06-13T19:50:01 | SHORT | 21644.50  | 21645.00  | 6    | $-60.00   
209  | ES-TM_9            | NQU24      | 2024-06-27T14:54:31 | LONG  | 20018.75  | 20019.50  | 4    | $60.00    
210  | ES-TM_9            | NQU24      | 2024-06-27T15:05:41 | SHORT | 20026.50  | 20026.25  | 4    | $20.00    
211  | ES-TM_9            | NQU24      | 2024-06-27T15:18:50 | LONG  | 20029.75  | 20021.50  | 6    | $-990.00  
212  | TM_10              | NQU24      | 2024-07-10T15:01:13 | LONG  | 20717.00  | 20714.75  | 6    | $-270.00  
213  | TM_9               | NQU24      | 2024-08-04T22:51:19 | SHORT | 18367.75  | 18369.75  | 6    | $-240.00  
214  | TM_9               | NQU24      | 2024-08-04T23:03:53 | LONG  | 18319.00  | 18315.00  | 6    | $-480.00  
215  | TM_9               | NQU24      | 2024-08-04T23:24:12 | LONG  | 18276.75  | 18273.00  | 6    | $-450.00  
216  | TM_9               | NQU24      | 2024-08-04T23:45:01 | LONG  | 18265.00  | 18262.00  | 6    | $-360.00  
217  | TM_U-D-1_1         | NQU24      | 2024-08-02T15:52:02 | LONG  | 18569.75  | 18562.75  | 6    | $-840.00  
218  | TM_U-D-1_1         | NQU24      | 2024-08-02T17:31:04 | LONG  | 18495.75  | 18486.50  | 4    | $-740.00  
219  | TM_U-D-1_1         | NQU24      | 2024-08-02T19:00:07 | LONG  | 18520.50  | 18510.25  | 6    | $-1,230.00
220  | V500_SIM10         | NQZ24      | 2024-10-22T16:25:39 | LONG  | 20443.50  | 20442.50  | 5    | $-100.00  
