SECTION: CLEAN STRATEGY-BASED TRADES (Ghost Fills Removed)
Date,Trade_#,Direction,Qty,Entry_Time,Exit_Time,Entry_Price,Exit_Price,PnL_Points,PnL_Dollars,Cum_PnL_Dollars,Duration_Min
2026-06-10,28,BUY,1,?,?,24303.0,24282.0,-21.0,-420.0,3560.0,0.0
2026-06-10,29,BUY,2,?,?,24303.0,24240.0,-63.0,-2520.0,1040.0,0.0
2026-06-10,30,SELL,1,?,?,24240.0,24210.0,30.0,600.0,1640.0,0.0
2026-06-10,31,BUY,2,?,?,24215.0,24171.0,-44.0,-1760.0,-120.0,0.0
2026-06-10,32,SELL,1,?,?,24171.0,24191.0,-20.0,-400.0,-520.0,0.0
2026-06-10,33,BUY,2,?,?,24191.0,24142.0,-49.0,-1960.0,-2480.0,0.0
2026-06-10,34,SELL,1,?,?,24142.0,24188.0,-46.0,-920.0,-3400.0,0.0
2026-06-10,35,SELL,2,?,?,24149.0,24188.0,-39.0,-1560.0,-4960.0,0.0
2026-06-10,36,SELL,1,?,?,24149.0,24188.0,-39.0,-780.0,-5740.0,0.0
2026-06-10,37,SELL,2,?,?,24149.0,24188.0,-39.0,-1560.0,-7300.0,0.0
2026-06-10,38,SELL,1,?,?,24149.0,24147.0,2.0,40.0,-7260.0,0.0
2026-06-10,39,SELL,1,?,?,24183.0,24113.0,70.0,1400.0,-5860.0,0.0
2026-06-10,40,SELL,1,?,?,24183.0,24125.0,58.0,1160.0,-4700.0,0.0
2026-06-11,1,BUY,1,?,?,23998.0,24171.0,173.0,3460.0,-1240.0,0.0
2026-06-11,2,BUY,1,?,?,23998.0,24171.0,173.0,3460.0,2220.0,0.0
2026-06-11,3,BUY,1,?,?,24225.0,24171.0,-54.0,-1080.0,1140.0,0.0
2026-06-11,4,BUY,2,?,?,24225.0,24273.0,48.0,1920.0,3060.0,0.0
2026-06-11,5,SELL,1,?,?,24273.0,24241.0,32.0,640.0,3700.0,0.0
2026-06-11,6,BUY,2,?,?,24264.0,24277.0,13.0,520.0,4220.0,0.0
2026-06-11,7,SELL,1,?,?,24277.0,24249.0,28.0,560.0,4780.0,0.0
2026-06-11,8,BUY,2,?,?,24279.0,24251.0,-28.0,-1120.0,3660.0,0.0
2026-06-11,9,SELL,1,?,?,24251.0,24224.0,27.0,540.0,4200.0,0.0
2026-06-11,10,BUY,1,?,?,24186.0,24104.0,-82.0,-1640.0,2560.0,0.0
2026-06-11,11,BUY,1,?,?,24175.0,24104.0,-71.0,-1420.0,1140.0,0.0
2026-06-11,12,SELL,1,?,?,24104.0,24155.0,-51.0,-1020.0,120.0,0.0
2026-06-11,13,BUY,2,?,?,24155.0,24150.0,-5.0,-200.0,-80.0,0.0
2026-06-11,14,BUY,1,?,?,24179.0,24150.0,-29.0,-580.0,-660.0,0.0
2026-06-11,15,BUY,2,?,?,24179.0,24143.0,-36.0,-1440.0,-2100.0,0.0
2026-06-11,16,BUY,1,?,?,24113.0,24143.0,30.0,600.0,-1500.0,0.0
2026-06-11,17,BUY,2,?,?,24128.0,24172.0,44.0,1760.0,260.0,0.0
2026-06-11,18,BUY,1,?,?,24175.0,24172.0,-3.0,-60.0,200.0,0.0
2026-06-11,19,BUY,2,?,?,24175.0,24214.0,39.0,1560.0,1760.0,0.0
2026-06-11,20,BUY,1,?,?,24221.0,24214.0,-7.0,-140.0,1620.0,0.0
2026-06-11,21,BUY,1,?,?,24221.0,24257.0,36.0,720.0,2340.0,0.0
2026-06-11,22,BUY,1,?,?,24221.0,24299.0,78.0,1560.0,3900.0,0.0
2026-06-11,23,BUY,1,?,?,24172.0,24275.0,103.0,2060.0,5960.0,0.0
2026-06-11,24,BUY,2,?,?,24194.0,24221.0,27.0,1080.0,7040.0,0.0
2026-06-11,25,BUY,1,?,?,24220.0,24221.0,1.0,20.0,7060.0,0.0
2026-06-11,26,BUY,2,?,?,24220.0,24236.0,16.0,640.0,7700.0,0.0
2026-06-11,27,BUY,1,?,?,24253.0,24236.0,-17.0,-340.0,7360.0,0.0
2026-06-11,28,BUY,1,?,?,24253.0,24314.0,61.0,1220.0,8580.0,0.0
2026-06-11,29,BUY,1,?,?,24253.0,24363.0,110.0,2200.0,10780.0,0.0
2026-06-11,30,BUY,1,?,?,24272.0,24345.0,73.0,1460.0,12240.0,0.0
2026-06-11,31,BUY,1,?,?,24272.0,24500.0,228.0,4560.0,16800.0,0.0
2026-06-11,32,BUY,1,?,?,24272.0,24451.0,179.0,3580.0,20380.0,0.0
2026-06-11,33,BUY,1,?,?,24263.0,24451.0,188.0,3760.0,24140.0,0.0
2026-06-11,34,BUY,2,?,?,24263.0,24487.0,224.0,8960.0,33100.0,0.0
2026-06-11,35,BUY,1,?,?,24454.0,24487.0,33.0,660.0,33760.0,0.0
2026-06-11,36,BUY,2,?,?,24454.0,24555.0,101.0,4040.0,37800.0,0.0
2026-06-11,37,BUY,1,?,?,24525.0,24555.0,30.0,600.0,38400.0,0.0
2026-06-11,38,BUY,2,?,?,24525.0,24507.0,-18.0,-720.0,37680.0,0.0
2026-06-11,39,BUY,1,?,?,24508.0,24507.0,-1.0,-20.0,37660.0,0.0
2026-06-11,40,BUY,2,?,?,24544.0,24620.0,76.0,3040.0,40700.0,0.0
2026-06-11,41,BUY,1,?,?,24558.0,24620.0,62.0,1240.0,41940.0,0.0
2026-06-11,42,BUY,2,?,?,24558.0,24624.0,66.0,2640.0,44580.0,0.0
2026-06-11,43,BUY,1,?,?,24651.0,24624.0,-27.0,-540.0,44040.0,0.0
2026-06-12,1,BUY,3,?,?,24670.0,24561.0,-109.0,-6540.0,37500.0,0.0
2026-06-12,2,BUY,1,?,?,24593.0,24707.0,114.0,2280.0,39780.0,0.0
2026-06-12,3,BUY,1,?,?,24593.0,24754.0,161.0,3220.0,43000.0,0.0
2026-06-12,4,BUY,1,?,?,24593.0,24720.0,127.0,2540.0,45540.0,0.0
2026-06-12,5,BUY,3,?,?,24667.0,24737.0,70.0,4200.0,49740.0,0.0
2026-06-12,6,BUY,1,?,?,24700.0,24650.0,-50.0,-1000.0,48740.0,0.0
2026-06-12,7,BUY,1,?,?,24666.0,24650.0,-16.0,-320.0,48420.0,0.0
2026-06-12,8,BUY,1,?,?,24625.0,24650.0,25.0,500.0,48920.0,0.0
2026-06-12,9,BUY,3,?,?,24679.0,24678.0,-1.0,-60.0,48860.0,0.0
2026-06-12,10,BUY,3,?,?,24701.0,24692.0,-9.0,-540.0,48320.0,0.0
2026-06-12,11,BUY,1,?,?,24663.0,24628.0,-35.0,-700.0,47620.0,0.0
2026-06-12,12,BUY,1,?,?,24631.0,24628.0,-3.0,-60.0,47560.0,0.0
2026-06-12,13,BUY,1,?,?,24649.0,24628.0,-21.0,-420.0,47140.0,0.0
2026-06-12,14,BUY,1,?,?,24592.0,24593.0,1.0,20.0,47160.0,0.0
2026-06-12,15,BUY,2,?,?,24591.0,24593.0,2.0,80.0,47240.0,0.0
2026-06-12,16,BUY,3,?,?,24617.0,24623.0,6.0,360.0,47600.0,0.0
2026-06-12,17,BUY,1,?,?,24595.0,24537.0,-58.0,-1160.0,46440.0,0.0
2026-06-12,18,BUY,1,?,?,24564.0,24537.0,-27.0,-540.0,45900.0,0.0
2026-06-12,19,BUY,1,?,?,24569.0,24537.0,-32.0,-640.0,45260.0,0.0
2026-06-12,20,BUY,1,?,?,24509.0,24497.0,-12.0,-240.0,45020.0,0.0
2026-06-12,21,BUY,2,?,?,24523.0,24497.0,-26.0,-1040.0,43980.0,0.0
2026-06-12,22,BUY,1,?,?,24470.0,24556.0,86.0,1720.0,45700.0,0.0
2026-06-12,23,BUY,2,?,?,24492.0,24551.0,59.0,2360.0,48060.0,0.0
2026-06-12,24,BUY,3,?,?,24528.0,24444.0,-84.0,-5040.0,43020.0,0.0
2026-06-12,25,BUY,3,?,?,24505.0,24502.0,-3.0,-180.0,42840.0,0.0
2026-06-12,26,BUY,3,?,?,24541.0,24584.0,43.0,2580.0,45420.0,0.0
2026-06-12,27,BUY,1,?,?,24621.0,24667.0,46.0,920.0,46340.0,0.0
2026-06-12,28,BUY,2,?,?,24621.0,24647.0,26.0,1040.0,47380.0,0.0
2026-06-12,29,BUY,3,?,?,24635.0,24647.0,12.0,720.0,48100.0,0.0
2026-06-12,30,BUY,1,?,?,24620.0,24569.0,-51.0,-1020.0,47080.0,0.0
2026-06-12,31,BUY,1,?,?,24594.0,24569.0,-25.0,-500.0,46580.0,0.0
2026-06-12,32,BUY,1,?,?,24609.0,24569.0,-40.0,-800.0,45780.0,0.0
2026-06-12,33,BUY,3,?,?,24612.0,24617.0,5.0,300.0,46080.0,0.0
2026-06-12,34,BUY,3,?,?,24650.0,24655.0,5.0,300.0,46380.0,0.0
2026-06-12,35,BUY,3,?,?,24687.0,24672.0,-15.0,-900.0,45480.0,0.0
